"Date","Commits","Messages"
"2013-08-19","6","[01:16 PM]: Show customer address when different dropdownlist selected. Current handled Hamid & Addin only. [01:09 PM]: Fixed max item width in both display and print layout. [01:08 PM]: Attempt not to show next quarter in calendar. But comment up. [11:47 AM]: Not to print filter control in order list. [10:57 AM]: Moved Muslim calendar to customer order list. Meaningless at my view. [10:19 AM]: Adding new orders."
"2013-08-16","3","[03:37 PM]: Added new order from Pak Din. [03:31 PM]: Added xml table export support for billing purpose. [01:21 PM]: Recall previous and next month icon for jquery datepicker."
"2013-08-13","1","[09:42 PM]: Calendar should display past month instead of future because death is always fall behind."
"2013-08-12","6","[02:57 PM]: Only reference to a single jquery version. ver10 break the sort feature. [02:52 PM]: Integrate into pending list. [02:06 PM]: Converted to json variable. [01:57 PM]: Hided next month button in calendar header and display muslim month only. [01:51 PM]: Draft hijri calendar. [01:50 PM]: Added new order from addin."
"2013-08-06","1","[05:50 PM]: Correction to order."
"2013-08-03","1","[06:34 PM]: update order."
"2013-08-01","1","[11:27 AM]: Adding new order."
"2013-07-30","1","[08:57 PM]: Added new order from Hamid."
"2013-07-27","2","[02:04 PM]: Added new order from Hamid. [12:28 PM]: Added new order from addin."
"2013-07-24","1","[03:33 PM]: Adding new order."
"2013-07-18","3","[03:16 PM]: Added new order from Addin. [03:06 PM]: Added new order from Hamid. [10:20 AM]: Added second basmala template."
"2013-07-12","1","[09:59 AM]: Adding new order from hamid and updating delivery date."
"2013-07-08","1","[11:17 PM]: Adding new orders."
"2013-07-06","1","[11:20 AM]: Updated order from Pak Din."
"2013-07-05","2","[11:29 AM]: Adding new order from hamid. [09:31 AM]: Adding new order from Hamid."
"2013-06-30","1","[09:37 AM]: Adding order from Hamid."
"2013-06-24","3","[11:10 AM]: Highlight male & female for jawiindex page for better readable. [10:31 AM]: Added new order of Pak Din. [09:49 AM]: Added delivery date."
"2013-06-23","1","[03:15 PM]: Adding new order from Hamid."
"2013-06-18","1","[11:38 AM]: Added total count at footer for order printing."
"2013-06-17","1","[11:49 PM]: Adding new order."
"2013-06-09","1","[12:59 PM]: Added new order from Hamid."
"2013-05-31","1","[07:02 AM]: Adding new order."
"2013-05-30","1","[11:29 PM]: Change the input validation to ignore the remaining text after 10 character."
"2013-05-29","4","[09:05 PM]: Exclude to store invalid Malay word. [09:02 PM]: Added Malay dictionary. [08:27 PM]: Download Malay dictionary for retrieve jawi later use. [05:45 PM]: Initial NisanWPF for nisan entry."
"2013-05-21","1","[02:07 PM]: Adding new order."
"2013-05-18","1","[09:08 PM]: Adding new order."
"2013-05-17","1","[03:37 PM]: Adding some new orders."
"2013-05-14","1","[09:48 AM]: Update delivery date."
"2013-05-12","1","[02:36 PM]: Adding new order from Hamid."
"2013-04-29","1","[01:16 PM]: Added new order from Addin."
"2013-04-16","1","[11:54 AM]: updating order."
"2013-04-02","1","[10:51 PM]: updating delivery."
"2013-04-01","2","[11:16 AM]: Added transformer, viking logo.Added readme. [10:45 AM]: move artwork branch under here."
"2013-03-30","1","[12:27 AM]: adding new order."
"2013-03-26","1","[06:23 PM]: Try original jQuery alert."
"2013-03-22","2","[10:59 AM]: Added order from Addin. [09:51 AM]: Added order from Hamid."
"2013-03-13","2","[11:13 PM]: added new order from hamid. [11:11 PM]: Converted month digit to word."
"2013-03-12","2","[09:48 AM]: Initial interface for NisanWPF project which is an app for nisan entry maintenance.Draft basic interface with ribbon control style.Added useful icons. [09:43 AM]: removed JawiPath.Test project.automate fill all rumi with jawi.updated to latest muslim calendar 2013."
"2013-03-04","1","[10:37 PM]: adding new order from hamid."
"2013-02-26","3","[11:38 AM]: all point to latest version of jquery. [11:35 AM]: consolidate all stylesheet. [11:08 AM]: widen the item column in order list."
"2013-02-25","2","[03:50 PM]: consolidate all pages into default page and from there start navigate to each page.added view report per customer for printing order list purpose. This simplified the manual work to store a hard link parameter by building xslt output on the fly. [01:36 PM]: updated poslaju delivery date for addin."
"2013-02-22","1","[10:41 AM]: updating delivery for hamid."
"2013-02-21","1","[06:06 PM]: adding new order."
"2013-02-20","1","[10:20 PM]: adding new order from hamid."
"2013-02-06","1","[03:03 PM]: added new order from semanggol pakcik."
"2013-02-05","1","[06:36 PM]: adding new order from addin."
"2013-02-04","1","[10:59 AM]: updated delivery date."
"2013-02-03","1","[11:38 AM]: adding hamid order."
"2013-02-02","1","[06:40 PM]: adding new order."
"2013-01-29","1","[04:52 PM]: adding new order."
"2013-01-12","2","[01:02 PM]: added new word 'azam' template. [10:54 AM]: adding new order from hamid."
"2013-01-10","1","[06:03 PM]: add year filtering for sales report."
"2013-01-09","1","[02:41 PM]: adding new order from hamid."
"2013-01-08","1","[06:05 PM]: adding new order from addin."
"2013-01-07","1","[02:54 PM]: updating delivery."
"2013-01-03","1","[01:58 PM]: split nisan sales according to year."
"2013-01-02","1","[03:43 PM]: updating order."
"2012-12-27","4","[04:52 PM]: added mr. ali no. plate design. [04:51 PM]: moved jquery-ui.css to subfolder. [04:50 PM]: updated muslim calendar for year 1433. [04:48 PM]: adding new order."
"2012-12-15","2","[04:51 PM]: updating order. [09:51 AM]: adding new order."
"2012-12-13","2","[11:18 AM]: adding new order. [11:04 AM]: adding new order."
"2012-12-04","1","[12:43 AM]: updating order."
