"Revision","Author","Date","Message"
"837","yancyn","2013-08-19 13:16:43","Show customer address when different dropdownlist selected. Current handled Hamid & Addin only."
"836","yancyn","2013-08-19 13:09:32","Fixed max item width in both display and print layout."
"835","yancyn","2013-08-19 13:08:49","Attempt not to show next quarter in calendar. But comment up."
"834","yancyn","2013-08-19 11:47:14","Not to print filter control in order list."
"833","yancyn","2013-08-19 10:57:14","Moved Muslim calendar to customer order list. Meaningless at my view."
"832","yancyn","2013-08-19 10:19:01","Adding new orders."
"831","yancyn","2013-08-16 15:37:03","Added new order from Pak Din."
"830","yancyn","2013-08-16 15:31:14","Added xml table export support for billing purpose."
"829","yancyn","2013-08-16 13:21:36","Recall previous and next month icon for jquery datepicker."
"828","yancyn","2013-08-13 21:42:19","Calendar should display past month instead of future because death is always fall behind."
"827","yancyn","2013-08-12 14:57:56","Only reference to a single jquery version. ver10 break the sort feature."
"826","yancyn","2013-08-12 14:52:56","Integrate into pending list."
"825","yancyn","2013-08-12 14:06:21","Converted to json variable."
"824","yancyn","2013-08-12 13:57:22","Hided next month button in calendar header and display muslim month only."
"823","yancyn","2013-08-12 13:51:40","Draft hijri calendar."
"822","yancyn","2013-08-12 13:50:36","Added new order from addin."
"821","yancyn","2013-08-06 17:50:39","Correction to order."
"820","yancyn","2013-08-03 18:34:11","update order."
"819","yancyn","2013-08-01 11:27:30","Adding new order."
"818","yancyn","2013-07-30 20:57:55","Added new order from Hamid."
"817","yancyn","2013-07-27 14:04:58","Added new order from Hamid."
"816","yancyn","2013-07-27 12:28:03","Added new order from addin."
"815","yancyn","2013-07-24 15:33:16","Adding new order."
"814","yancyn","2013-07-18 15:16:56","Added new order from Addin."
"813","yancyn","2013-07-18 15:06:03","Added new order from Hamid."
"812","yancyn","2013-07-18 10:20:59","Added second basmala template."
"811","yancyn","2013-07-12 09:59:54","Adding new order from hamid and updating delivery date."
"810","yancyn","2013-07-08 23:17:39","Adding new orders."
"809","yancyn","2013-07-06 11:20:56","Updated order from Pak Din."
"808","yancyn","2013-07-05 11:29:29","Adding new order from hamid."
"807","yancyn","2013-07-05 09:31:06","Adding new order from Hamid."
"806","yancyn","2013-06-30 09:37:31","Adding order from Hamid."
"805","yancyn","2013-06-24 11:10:45","Highlight male & female for jawiindex page for better readable."
"804","yancyn","2013-06-24 10:31:01","Added new order of Pak Din."
"803","yancyn","2013-06-24 09:49:19","Added delivery date."
"802","yancyn","2013-06-23 15:15:08","Adding new order from Hamid."
"801","yancyn","2013-06-18 11:38:02","Added total count at footer for order printing."
"800","yancyn","2013-06-17 23:49:14","Adding new order."
"799","yancyn","2013-06-09 12:59:22","Added new order from Hamid."
"798","yancyn","2013-05-31 07:02:17","Adding new order."
"797","yancyn","2013-05-30 23:29:03","Change the input validation to ignore the remaining text after 10 character."
"796","yancyn","2013-05-29 21:05:19","Exclude to store invalid Malay word."
"795","yancyn","2013-05-29 21:02:29","Added Malay dictionary."
"794","yancyn","2013-05-29 20:27:14","Download Malay dictionary for retrieve jawi later use."
"793","yancyn","2013-05-29 17:45:17","Initial NisanWPF for nisan entry."
"792","yancyn","2013-05-21 14:07:34","Adding new order."
"791","yancyn","2013-05-18 21:08:22","Adding new order."
"790","yancyn","2013-05-17 15:37:23","Adding some new orders."
"789","yancyn","2013-05-14 09:48:40","Update delivery date."
"788","yancyn","2013-05-12 14:36:47","Adding new order from Hamid."
"787","yancyn","2013-04-29 13:16:00","Added new order from Addin."
"786","yancyn","2013-04-16 11:54:53","updating order."
"785","yancyn","2013-04-02 22:51:23","updating delivery."
"784","yancyn","2013-04-01 11:16:45","Added transformer, viking logo.Added readme."
"783","yancyn","2013-04-01 10:45:41","move artwork branch under here."
"782","yancyn","2013-03-30 00:27:59","adding new order."
"781","yancyn","2013-03-26 18:23:04","Try original jQuery alert."
"780","yancyn","2013-03-22 10:59:29","Added order from Addin."
"779","yancyn","2013-03-22 09:51:01","Added order from Hamid."
"778","yancyn","2013-03-13 23:13:00","added new order from hamid."
"777","yancyn","2013-03-13 23:11:25","Converted month digit to word."
"776","yancyn","2013-03-12 09:48:25","Initial interface for NisanWPF project which is an app for nisan entry maintenance.Draft basic interface with ribbon control style.Added useful icons."
"775","yancyn","2013-03-12 09:43:37","removed JawiPath.Test project.automate fill all rumi with jawi.updated to latest muslim calendar 2013."
"774","yancyn","2013-03-04 22:37:50","adding new order from hamid."
"773","yancyn","2013-02-26 11:38:46","all point to latest version of jquery."
"772","yancyn","2013-02-26 11:35:22","consolidate all stylesheet."
"771","yancyn","2013-02-26 11:08:00","widen the item column in order list."
"770","yancyn","2013-02-25 15:50:39","consolidate all pages into default page and from there start navigate to each page.added view report per customer for printing order list purpose. This simplified the manual work to store a hard link parameter by building xslt output on the fly."
"769","yancyn","2013-02-25 13:36:01","updated poslaju delivery date for addin."
"768","yancyn","2013-02-22 10:41:42","updating delivery for hamid."
"767","yancyn","2013-02-21 18:06:04","adding new order."
"766","yancyn","2013-02-20 22:20:53","adding new order from hamid."
"765","yancyn","2013-02-06 15:03:22","added new order from semanggol pakcik."
"764","yancyn","2013-02-05 18:36:36","adding new order from addin."
"763","yancyn","2013-02-04 10:59:35","updated delivery date."
"762","yancyn","2013-02-03 11:38:14","adding hamid order."
"761","yancyn","2013-02-02 18:40:58","adding new order."
"760","yancyn","2013-01-29 16:52:56","adding new order."
"759","yancyn","2013-01-12 13:02:07","added new word 'azam' template."
"758","yancyn","2013-01-12 10:54:02","adding new order from hamid."
"757","yancyn","2013-01-10 18:03:52","add year filtering for sales report."
"756","yancyn","2013-01-09 14:41:33","adding new order from hamid."
